airline,origin,dest,month,day_of_week,hour,distance,delayed
AA,ORD,DFW,5,1,19,909,1
QP,AMD,BOM,6,1,20,275,1
UK,PNQ,MAA,1,2,5,502,1
NK,ATL,MIA,9,2,16,595,0
6E,MAA,AMD,11,1,6,306,1
UA,SFO,ORD,11,6,21,641,1
AS,LAS,ATL,8,0,20,856,1
AI,MAA,AMD,2,2,19,1343,0
QP,CCU,GOI,3,4,13,1100,1
UA,DFW,MIA,8,6,21,599,1
AA,SFO,PHX,5,4,21,327,1
6E,MAA,GOI,3,0,20,376,1
F9,SFO,ORD,11,5,7,1237,1
AI,COK,BOM,8,5,6,670,1
6E,MAA,PNQ,5,4,11,935,1
AI,BOM,CCU,9,6,14,1030,1
NK,LAS,LAX,11,1,13,1392,1
IX,DEL,GOI,3,1,19,940,1
QP,AMD,CCU,5,1,5,1292,0
QP,PNQ,COK,5,0,14,1074,0
QP,BOM,BLR,7,2,16,520,1
AI,HYD,DEL,5,1,6,780,1
F9,MIA,LAX,5,6,22,728,1
B6,DFW,LAX,9,3,7,1235,0
AA,ORD,LAX,1,3,9,1744,1
DL,ORD,LAX,12,4,17,1744,1
SG,DEL,AMD,4,6,7,470,1
AA,PHX,ORD,5,1,14,1352,1
6E,CCU,DEL,3,0,6,810,0
QP,DEL,HYD,5,5,11,780,0
UA,MIA,PHX,8,2,15,1031,1
F9,ORD,DEN,9,1,22,888,1
IX,AMD,PNQ,10,5,17,1378,1
NK,DEN,SEA,11,1,5,1024,0
AS,JFK,DEN,9,4,10,864,0
DL,LAS,BOS,5,3,18,199,0
F9,PHX,DFW,4,0,18,1295,1
B6,MIA,ORD,1,0,8,1050,1
F9,LAS,DFW,6,5,14,269,1
6E,DEL,BOM,6,6,15,710,1
SG,MAA,DEL,2,4,7,1090,1
F9,ORD,DFW,7,2,11,244,0
AS,DEN,ORD,8,6,18,888,1
QP,GOI,PNQ,6,0,11,230,0
IX,HYD,COK,11,5,15,1053,0
AS,LAX,DEN,3,5,12,862,1
SG,BOM,MAA,1,0,19,640,1
NK,SFO,DEN,12,1,9,1108,1
DL,PHX,BOS,3,5,10,1190,0
AI,MAA,BLR,8,4,9,180,1
SG,AMD,BLR,12,3,8,764,0
6E,BOM,GOI,5,3,16,265,0
F9,SFO,SEA,1,3,21,679,1
QP,HYD,BOM,3,2,14,390,1
AA,LAX,SEA,4,1,6,954,0
NK,ATL,MIA,10,1,15,595,1
UA,JFK,PHX,8,3,13,1131,1
6E,DEL,GOI,9,5,12,940,0
QP,AMD,DEL,9,6,15,470,1
AI,COK,GOI,5,6,17,778,1
IX,HYD,BOM,4,6,19,390,1
QP,BOM,HYD,10,3,12,390,0
UK,AMD,DEL,7,5,21,470,1
WN,LAX,DEN,8,3,16,862,1
IX,DEL,AMD,1,2,9,470,1
NK,BOS,DEN,8,3,22,231,0
AI,BOM,BLR,10,6,10,520,1
UA,ORD,ATL,12,4,10,606,1
SG,MAA,DEL,1,2,15,1090,1
IX,MAA,AMD,4,2,16,337,1
B6,SFO,LAX,10,0,15,337,1
6E,BLR,AMD,6,5,14,1365,0
WN,DEN,ATL,7,2,8,1231,0
NK,MIA,LAX,8,0,7,752,1
F9,LAX,JFK,7,1,22,2475,0
F9,ORD,LAS,2,5,12,1154,1
AI,BLR,COK,1,2,18,230,1
F9,SFO,PHX,4,6,19,386,1
AI,GOI,PNQ,11,3,12,230,1
NK,ORD,BOS,7,6,9,867,1
6E,GOI,CCU,9,3,19,545,1
UA,LAS,ORD,12,2,16,828,1
QP,BLR,CCU,12,5,8,970,1
AA,LAX,BOS,4,1,9,403,1
IX,GOI,MAA,4,2,8,779,1
F9,PHX,MIA,3,3,7,752,0
6E,PNQ,MAA,1,2,5,227,1
WN,LAS,LAX,12,6,13,1040,1
6E,PNQ,COK,9,5,10,572,1
NK,BOS,LAX,11,4,22,1368,1
6E,GOI,PNQ,6,6,22,230,0
UK,BOM,DEL,1,2,8,710,1
UA,MIA,SFO,4,2,7,800,0
6E,GOI,MAA,12,3,21,870,0
AI,BLR,AMD,3,3,7,517,1
IX,COK,GOI,4,1,6,779,0
WN,JFK,SFO,7,1,14,623,1
UK,HYD,AMD,10,5,12,602,0
6E,BOM,CCU,6,1,12,1030,1
F9,LAS,ORD,6,2,17,1123,0
B6,DEN,SFO,7,0,12,497,1
WN,SEA,MIA,8,3,10,989,0
IX,MAA,PNQ,8,3,18,1266,1
B6,ORD,BOS,11,1,7,867,1
AA,LAS,DEN,2,2,16,726,1
WN,PHX,ORD,9,3,13,1257,0
QP,BOM,AMD,2,3,16,275,0
6E,COK,MAA,7,3,13,340,0
NK,JFK,SFO,8,3,21,895,0
QP,AMD,BOM,2,2,20,275,1
NK,JFK,BOS,5,5,8,187,1
WN,SFO,LAS,1,6,9,414,0
UK,DEL,MAA,4,5,5,1090,0
UA,MIA,ORD,6,2,20,763,1
QP,MAA,BLR,8,6,7,180,1
IX,MAA,BOM,5,5,11,640,1
WN,SEA,LAS,11,6,11,372,0
6E,DEL,CCU,2,6,20,810,0
UK,COK,DEL,9,2,15,1280,1
WN,DFW,DEN,3,4,22,641,1
AS,SEA,SFO,1,4,13,679,0
IX,AMD,DEL,6,5,6,470,1
F9,SEA,ORD,11,3,6,360,1
DL,MIA,LAX,11,1,15,602,1
QP,AMD,HYD,7,5,21,1242,0
UK,GOI,MAA,6,5,9,1153,1
SG,MAA,BOM,2,2,22,640,1
F9,JFK,SFO,6,5,7,224,1
AA,JFK,ATL,4,4,5,760,1
F9,LAX,SFO,1,5,16,337,1
DL,MIA,DEN,1,0,18,1040,1
QP,AMD,BOM,5,1,16,275,1
IX,GOI,PNQ,7,0,13,230,0
6E,HYD,CCU,7,2,11,740,1
6E,BOM,DEL,11,5,21,710,0
QP,AMD,COK,6,5,18,983,1
F9,ATL,DEN,11,1,9,183,0
UK,BLR,MAA,7,5,15,180,1
6E,GOI,HYD,5,6,11,1094,0
QP,DEL,GOI,2,6,10,940,0
IX,BOM,MAA,8,5,12,640,1
WN,PHX,SEA,6,2,15,1107,1
B6,BOS,SEA,11,0,18,1343,0
SG,COK,AMD,1,4,17,1165,1
AA,DEN,ORD,4,2,18,888,1
B6,DEN,MIA,6,6,6,402,1
QP,GOI,PNQ,3,3,18,230,0
B6,DFW,SEA,4,2,17,530,1
NK,DFW,LAX,3,6,11,1235,0
WN,JFK,BOS,3,2,21,187,0
6E,AMD,COK,10,0,18,1155,0
SG,BOM,CCU,4,0,16,1030,1
QP,BOM,HYD,11,6,17,390,1
AS,SEA,BOS,9,5,12,956,0
WN,PHX,DEN,9,2,20,848,1
SG,HYD,PNQ,3,6,5,166,0
UA,DFW,PHX,8,3,12,197,0
UK,CCU,BOM,3,1,8,1030,0
DL,SFO,DFW,3,5,17,398,0
AS,LAS,SEA,7,6,20,729,0
QP,MAA,AMD,9,0,19,774,1
AI,CCU,BOM,6,6,13,1030,1
WN,LAS,JFK,1,0,6,155,1
AA,ORD,SEA,9,6,8,943,1
AA,LAX,DEN,4,4,11,862,0
AA,JFK,SFO,4,4,15,276,1
AA,SEA,ATL,10,3,12,1289,0
AS,SEA,PHX,11,4,17,1107,0
UA,DFW,LAS,6,1,8,306,1
WN,PHX,SEA,12,5,8,1107,1
B6,BOS,SEA,4,6,8,386,1
NK,SEA,ORD,3,0,22,461,1
UK,DEL,MAA,9,6,15,1090,0
IX,COK,CCU,11,3,6,804,1
DL,LAS,JFK,6,6,15,600,0
SG,DEL,PNQ,12,4,21,730,1
IX,GOI,CCU,2,0,11,251,1
DL,MIA,DEN,5,5,12,454,0
AI,HYD,AMD,1,0,10,293,1
F9,JFK,SFO,8,6,21,201,1
NK,JFK,PHX,5,2,10,438,0
QP,MAA,CCU,10,4,9,850,1
UK,DEL,MAA,2,4,20,1090,1
AI,HYD,BLR,8,0,6,310,1
NK,BOS,SEA,11,6,18,936,1
AI,COK,DEL,5,0,22,1280,1
UA,PHX,DFW,8,0,5,279,1
AA,PHX,SFO,6,0,6,1363,1
6E,AMD,COK,11,1,19,980,1
NK,ORD,LAS,11,4,13,155,1
IX,PNQ,GOI,2,2,18,230,1
QP,AMD,PNQ,9,2,11,785,0
WN,PHX,SEA,8,2,19,1107,1
6E,BLR,PNQ,7,3,7,460,1
DL,PHX,SFO,2,6,21,843,0
AA,LAX,MIA,12,6,13,405,1
AA,MIA,PHX,5,4,6,174,0
UA,PHX,JFK,4,1,15,485,1
IX,AMD,COK,2,0,15,928,1
UA,DFW,LAS,11,1,12,1368,1
DL,LAX,LAS,4,2,9,287,1
B6,ORD,ATL,2,6,12,606,1
B6,PHX,LAS,10,5,15,256,1
QP,PNQ,MAA,12,6,19,1040,1
B6,MIA,DEN,12,3,17,386,1
AI,CCU,MAA,8,1,21,850,0
QP,COK,BOM,3,4,17,670,1
SG,AMD,CCU,2,2,15,1116,1
QP,PNQ,BOM,3,3,13,90,0
QP,HYD,GOI,4,3,5,315,0
WN,DEN,LAS,3,5,20,1356,0
NK,PHX,LAS,3,5,17,256,1
UA,DEN,SEA,6,2,20,1024,1
AS,DFW,DEN,4,1,17,641,1
F9,LAX,ATL,4,6,18,1946,1
AS,MIA,LAX,12,5,5,341,1
IX,MAA,AMD,2,4,16,1388,1
B6,SFO,PHX,3,0,9,733,1
WN,LAX,DFW,1,4,9,1235,1
AS,SEA,SFO,5,2,12,679,1
UA,LAX,MIA,7,2,5,352,0
6E,BOM,GOI,12,6,12,265,1
AS,LAS,LAX,4,3,15,1194,0
AS,BOS,LAX,5,3,12,1212,1
QP,AMD,BOM,7,4,10,275,1
WN,JFK,BOS,12,1,21,187,1
WN,ORD,DFW,12,0,12,661,1
UK,BLR,PNQ,5,3,18,460,0
WN,ATL,MIA,1,1,11,595,1
B6,SFO,SEA,6,6,10,679,1
IX,PNQ,HYD,6,0,18,277,1
UK,DEL,BLR,9,0,14,1080,1
UA,SEA,DEN,6,0,16,1024,1
WN,SEA,PHX,11,3,9,1107,1
UK,BOM,GOI,11,0,22,265,1
F9,ATL,SEA,4,6,16,1360,1
AS,MIA,LAS,9,2,13,317,0
QP,MAA,BOM,5,2,5,640,1
UA,SEA,SFO,12,0,20,679,1
SG,BLR,HYD,10,4,10,310,0
IX,COK,HYD,10,3,13,350,0
IX,BOM,COK,9,1,18,670,1
SG,DEL,COK,9,4,12,1280,1
IX,DEL,AMD,12,1,14,470,1
QP,DEL,COK,4,3,14,1280,1
QP,MAA,PNQ,3,1,10,354,0
DL,MIA,JFK,7,0,8,1090,0
F9,DFW,SFO,4,2,13,729,0
AS,PHX,ORD,7,6,17,1322,0
6E,BOM,CCU,6,0,20,1030,1
AI,AMD,BLR,2,1,15,1341,1
NK,DFW,ORD,5,6,9,965,0
WN,JFK,DFW,12,1,17,1391,1
AA,MIA,JFK,9,1,6,1090,0
DL,LAX,BOS,10,5,21,1151,1
UK,AMD,BOM,6,5,13,275,1
DL,SFO,DEN,1,3,8,538,1
UA,BOS,LAX,8,0,13,1114,0
AI,BLR,GOI,9,4,17,310,1
UA,DFW,MIA,9,1,19,737,0
AA,MIA,SEA,7,1,15,1224,1
SG,BOM,CCU,5,3,18,1030,0
UK,CCU,GOI,12,3,14,1017,1
UK,HYD,PNQ,7,6,15,941,1
UA,SEA,LAX,9,0,18,954,0
AA,MIA,PHX,11,1,15,1265,0
QP,BOM,GOI,7,4,6,265,1
UA,MIA,BOS,10,1,13,1258,0
IX,DEL,GOI,11,0,11,940,1
B6,MIA,BOS,9,6,13,1258,1
IX,GOI,BLR,2,4,6,310,0
UA,DEN,ORD,3,5,9,888,1
DL,BOS,DFW,5,6,16,1161,1
WN,SFO,ORD,8,3,12,636,1
SG,PNQ,CCU,10,2,19,1175,1
AI,CCU,PNQ,11,3,18,902,0
6E,BOM,HYD,3,6,12,390,1
QP,HYD,CCU,10,3,19,740,1
UA,ORD,JFK,5,3,18,740,1
F9,DFW,SEA,11,1,9,1339,1
F9,DFW,SFO,6,2,17,252,1
IX,HYD,BOM,4,3,22,390,1
AS,BOS,JFK,3,2,19,187,1
IX,AMD,BOM,1,3,9,275,1
UA,LAS,BOS,10,1,7,410,0
WN,PHX,DFW,10,0,16,472,1
AA,BOS,ATL,4,1,7,815,1
DL,DFW,ATL,10,3,9,815,0
QP,COK,PNQ,9,4,20,390,1
UK,BOM,HYD,12,1,22,390,1
QP,GOI,BOM,4,3,9,265,1
6E,AMD,CCU,6,3,16,199,0
AI,BLR,PNQ,10,3,18,460,1
F9,DFW,ATL,10,5,21,378,1
NK,DFW,LAX,8,4,6,1235,1
UK,AMD,GOI,10,0,11,261,0
AS,SEA,ATL,5,6,11,1086,1
B6,LAS,BOS,1,1,14,652,0
AI,HYD,COK,4,5,22,500,0
AI,BLR,GOI,11,5,10,310,0
AS,LAS,LAX,9,6,20,959,0
AA,MIA,DFW,1,0,16,1253,1
UA,SEA,BOS,11,1,13,346,0
SG,DEL,BLR,1,2,6,1080,1
UK,PNQ,MAA,3,0,12,281,0
UK,BLR,HYD,10,5,10,310,0
AS,ATL,DFW,5,3,18,1099,0
WN,DFW,ORD,11,2,18,815,0
UK,MAA,GOI,3,1,10,908,1
DL,ORD,LAS,3,1,12,957,0
SG,CCU,AMD,4,0,6,995,1
F9,BOS,MIA,11,1,22,1258,1
UK,BOM,PNQ,9,6,18,90,1
NK,SFO,LAX,11,3,6,337,1
B6,ORD,BOS,5,5,9,867,1
6E,PNQ,COK,12,2,14,743,1
QP,CCU,PNQ,6,5,18,441,1
F9,LAS,MIA,10,0,12,1314,1
WN,LAX,SFO,7,1,21,337,1
IX,PNQ,DEL,1,1,18,730,1
UA,ORD,SEA,3,4,9,451,0
AI,CCU,PNQ,10,5,5,214,1
AS,BOS,LAX,2,0,19,655,0
SG,BLR,AMD,8,5,8,217,1
UK,AMD,COK,5,4,7,1397,1
AA,ATL,ORD,12,3,8,606,1
IX,PNQ,COK,10,4,18,1361,1
SG,PNQ,MAA,2,3,15,297,0
B6,LAS,LAX,6,2,6,873,1
6E,CCU,MAA,5,4,21,850,1
6E,COK,PNQ,8,4,10,1084,0
SG,DEL,MAA,8,6,10,1090,1
QP,CCU,AMD,2,4,22,361,1
IX,HYD,DEL,6,5,12,780,0
SG,AMD,BOM,1,2,9,275,0
SG,GOI,MAA,4,1,18,358,1
6E,AMD,BOM,2,0,11,275,0
UA,ORD,ATL,4,5,14,606,1
UK,MAA,CCU,12,1,18,850,0
B6,LAX,PHX,9,0,20,1160,1
NK,PHX,LAX,6,5,9,1178,1
QP,BOM,MAA,10,3,20,640,0
DL,ATL,JFK,8,6,18,760,0
AI,BOM,CCU,2,5,8,1030,1
IX,BOM,PNQ,5,5,5,90,0
IX,MAA,AMD,5,4,22,543,0
DL,BOS,DFW,6,5,13,357,1
SG,GOI,COK,6,5,6,487,0
IX,GOI,DEL,9,4,22,940,0
IX,HYD,BLR,8,2,5,310,1
SG,MAA,AMD,9,1,7,820,1
AA,ATL,SEA,9,6,5,826,0
IX,BOM,HYD,3,4,14,390,1
IX,BLR,AMD,6,5,14,1057,0
UK,PNQ,CCU,7,6,8,250,1
B6,DEN,SFO,5,3,19,990,1
UK,MAA,DEL,10,4,17,1090,1
UK,BOM,BLR,11,6,14,520,1
SG,HYD,DEL,7,6,20,780,1
WN,BOS,LAX,2,4,10,423,1
IX,DEL,MAA,4,6,14,1090,0
IX,DEL,MAA,9,4,5,1090,1
AI,CCU,HYD,9,3,15,740,1
QP,MAA,AMD,9,2,7,416,1
IX,HYD,CCU,4,5,12,740,1
QP,BOM,BLR,4,2,15,520,0
QP,BOM,COK,2,5,20,670,0
AS,ATL,LAS,5,3,11,364,0
QP,MAA,AMD,3,6,12,779,0
AI,CCU,MAA,11,2,16,850,1
6E,PNQ,BOM,4,1,18,90,0
F9,MIA,BOS,11,6,7,1258,1
NK,MIA,SFO,10,0,10,256,0
B6,LAX,DFW,6,0,10,1235,0
UK,GOI,COK,10,1,19,196,0
F9,SEA,ORD,9,3,7,530,1
AI,HYD,DEL,1,0,10,780,1
SG,HYD,BLR,5,4,8,310,0
UK,MAA,COK,2,1,13,340,0
SG,HYD,DEL,10,6,10,780,1
AI,DEL,HYD,12,6,22,780,1
NK,SEA,JFK,8,0,18,800,1
NK,PHX,SEA,1,5,5,1107,1
NK,SEA,ATL,5,4,21,505,1
QP,COK,AMD,2,6,15,309,0
UK,BOM,MAA,11,1,5,640,1
6E,HYD,COK,5,5,5,288,1
UA,JFK,DFW,3,6,15,1391,1
UK,CCU,DEL,12,1,21,810,1
UK,PNQ,BOM,9,1,5,90,0
AA,LAX,PHX,3,6,15,354,1
QP,BOM,BLR,10,1,13,520,0
AS,DFW,SFO,3,1,15,672,1
AS,SFO,ORD,8,4,15,324,0
AS,ORD,DFW,2,2,8,249,1
IX,BLR,PNQ,6,1,21,460,0
6E,AMD,DEL,1,4,17,470,1
B6,PHX,MIA,8,1,14,1050,1
6E,AMD,BLR,12,6,6,1207,1
UK,BLR,MAA,10,5,10,180,0
B6,LAX,SEA,10,1,6,954,1
AI,PNQ,HYD,7,1,20,704,1
QP,PNQ,DEL,10,3,13,730,1
DL,LAX,DEN,4,3,19,862,0
UA,PHX,SFO,9,0,6,377,1
UK,COK,AMD,7,4,11,1113,0
UK,AMD,GOI,1,4,7,755,1
QP,DEL,HYD,2,2,15,780,0
IX,BLR,PNQ,6,5,16,460,0
AS,LAS,PHX,12,6,20,256,0
6E,PNQ,GOI,7,6,11,230,1
QP,PNQ,BLR,6,6,16,460,1
AI,BLR,COK,3,2,18,230,0
AI,PNQ,GOI,11,0,7,230,0
NK,ATL,ORD,3,1,19,606,1
DL,DFW,DEN,12,5,14,641,0
AA,MIA,BOS,6,0,11,1258,1
UK,PNQ,BOM,9,3,5,90,0
F9,PHX,LAX,11,4,9,163,1
UK,BOM,COK,6,1,11,670,0
WN,DEN,MIA,1,4,5,304,1
WN,ATL,LAX,11,0,8,1946,1
AS,BOS,MIA,9,0,6,1258,0
SG,BLR,BOM,6,2,18,520,1
SG,AMD,GOI,3,4,15,242,1
AS,SEA,MIA,12,2,10,1255,0
NK,JFK,BOS,1,0,21,187,0
UA,MIA,JFK,7,3,6,1090,0
6E,DEL,HYD,12,4,21,780,0
WN,DFW,LAS,7,0,10,530,1
F9,DFW,ORD,10,5,19,1334,0
SG,MAA,HYD,5,5,22,320,1
IX,BLR,COK,12,6,5,230,1
F9,MIA,LAX,9,2,19,514,1
6E,BLR,MAA,4,4,11,180,1
SG,CCU,PNQ,12,6,10,638,1
AS,JFK,DEN,10,6,14,1137,1
6E,BLR,DEL,8,4,19,1080,1
AI,PNQ,MAA,4,1,9,1183,1
B6,MIA,JFK,7,5,19,1090,1
UK,GOI,BOM,4,1,5,265,0
AS,PHX,BOS,1,6,16,962,1
UK,BOM,COK,8,5,20,670,1
AI,BLR,AMD,9,6,6,975,0
AI,DEL,HYD,3,6,17,780,1
DL,PHX,SFO,12,1,19,1357,0
UA,MIA,SEA,4,3,19,431,0
UK,GOI,PNQ,2,1,6,230,0
B6,ORD,BOS,10,5,19,867,1
B6,JFK,ATL,8,3,13,760,0
UK,BOM,HYD,4,6,12,390,0
IX,PNQ,HYD,5,0,11,272,1
6E,BOM,CCU,9,3,21,1030,1
IX,BOM,DEL,12,2,11,710,1
AS,ORD,SEA,3,1,21,1351,1
B6,ORD,LAX,12,3,10,1744,0
WN,SFO,SEA,1,0,19,679,1
NK,SFO,SEA,8,5,22,679,1
6E,BLR,AMD,8,3,12,447,0
NK,JFK,BOS,8,5,21,187,1
UA,SEA,ATL,1,3,16,463,1
NK,PHX,ORD,2,1,19,1206,1
SG,HYD,CCU,10,5,14,740,1
AI,CCU,AMD,6,0,16,1366,1
UA,MIA,ATL,10,2,22,595,0
IX,AMD,GOI,10,4,14,1263,0
SG,CCU,GOI,9,3,20,1313,1
NK,LAX,LAS,8,5,19,871,1
NK,ATL,MIA,2,2,14,595,1
UK,BOM,MAA,5,5,10,640,1
SG,HYD,BLR,7,0,18,310,1
AI,MAA,GOI,10,6,18,1077,1
6E,PNQ,MAA,10,4,9,238,0
AS,PHX,LAS,4,3,13,256,0
SG,COK,DEL,4,1,12,1280,0
UK,HYD,GOI,3,5,10,433,0
AS,LAX,BOS,12,0,14,1037,0
UK,COK,AMD,5,5,5,827,1
UA,BOS,SFO,10,5,8,377,0
SG,MAA,PNQ,7,3,5,816,1
NK,ORD,SEA,4,0,21,1202,0
F9,DEN,JFK,3,4,5,1360,1
DL,SFO,LAX,6,3,5,337,0
6E,BLR,AMD,4,1,22,223,1
B6,ATL,BOS,2,6,20,1168,1
UA,DEN,PHX,12,2,19,1006,0
F9,BOS,LAX,9,0,21,1051,0
AS,DEN,ATL,7,1,9,993,0
F9,ATL,DEN,5,4,8,786,0
SG,HYD,AMD,10,3,19,184,1
AI,BOM,BLR,1,6,14,520,0
IX,CCU,HYD,6,0,21,740,1
6E,AMD,PNQ,4,6,7,782,1
UA,MIA,SEA,9,2,16,954,1
UA,MIA,ATL,10,4,18,595,1
B6,MIA,JFK,9,0,19,1090,1
AI,HYD,COK,9,5,14,1083,1
SG,BLR,PNQ,4,3,9,460,1
DL,DEN,ORD,4,0,22,888,0
6E,HYD,CCU,12,6,11,740,1
WN,PHX,JFK,4,1,15,1273,0
IX,COK,CCU,7,1,12,1300,1
6E,MAA,COK,4,5,13,340,0
AS,LAS,DFW,8,3,15,470,1
IX,BLR,GOI,12,2,12,310,0
F9,LAX,JFK,1,0,11,2475,1
6E,DEL,AMD,3,1,6,470,0
SG,MAA,GOI,10,5,20,624,0
NK,ATL,PHX,11,4,6,229,1
SG,AMD,CCU,9,4,9,467,1
AS,ORD,LAX,2,6,12,1744,0
AI,HYD,PNQ,7,4,18,684,1
QP,DEL,BLR,8,3,9,1080,1
QP,DEL,CCU,1,6,10,810,1
F9,ATL,BOS,3,5,15,779,0
WN,DEN,SEA,8,0,17,1024,1
QP,CCU,BLR,6,4,5,970,1
AI,PNQ,DEL,5,1,11,730,0
NK,JFK,LAX,5,3,12,2475,1
SG,COK,PNQ,6,0,18,704,1
UA,LAS,LAX,4,1,13,977,0
6E,AMD,COK,4,6,11,248,1
SG,BLR,AMD,1,6,18,862,1
NK,DEN,SEA,2,6,13,1024,0
6E,CCU,DEL,4,3,22,810,1
IX,GOI,HYD,11,1,13,1166,1
6E,COK,PNQ,6,6,6,533,0
IX,BOM,HYD,12,5,5,390,1
SG,BLR,PNQ,1,2,22,460,0
QP,BOM,CCU,8,6,10,1030,1
6E,PNQ,AMD,12,2,17,373,1
B6,SFO,BOS,5,4,15,684,0
AI,PNQ,CCU,11,1,9,946,0
6E,BOM,CCU,4,2,20,1030,1
6E,AMD,PNQ,4,6,14,372,1
DL,SFO,JFK,7,0,17,805,1
SG,BLR,MAA,6,3,8,180,1
IX,DEL,MAA,2,6,13,1090,0
F9,LAX,LAS,3,0,14,459,1
QP,BOM,PNQ,12,4,14,90,1
IX,DEL,COK,6,3,10,1280,0
6E,AMD,PNQ,10,1,17,287,0
IX,PNQ,HYD,12,6,16,1271,0
WN,JFK,LAX,4,6,20,2475,0
F9,BOS,MIA,3,2,11,1258,1
UA,MIA,ORD,6,5,20,564,1
QP,DEL,MAA,8,4,20,1090,1
IX,BOM,PNQ,10,5,16,90,1
AI,CCU,HYD,5,6,12,740,0
QP,DEL,BLR,9,1,12,1080,1
SG,GOI,COK,6,5,19,702,1
AS,SFO,MIA,2,3,7,1206,1
6E,MAA,BLR,7,3,10,180,0
SG,CCU,HYD,1,3,21,740,1
6E,BLR,BOM,7,6,16,520,1
NK,LAS,PHX,7,5,20,256,0
AA,LAX,DEN,5,2,15,862,1
NK,DEN,BOS,9,1,18,847,0
UA,ATL,MIA,4,0,20,595,1
WN,PHX,SEA,10,5,19,1107,1
F9,MIA,PHX,2,5,17,354,1
F9,LAS,ORD,8,6,12,1359,1
QP,AMD,HYD,11,1,15,430,0
6E,DEL,BLR,5,0,22,1080,1
IX,HYD,DEL,2,6,5,780,0
B6,PHX,BOS,7,0,10,1366,0
UK,PNQ,BLR,8,4,7,460,0
NK,PHX,ORD,7,5,11,1345,1
QP,CCU,DEL,6,4,11,810,1
AA,DFW,BOS,8,1,10,870,0
B6,DEN,ATL,8,6,8,365,1
F9,ATL,SFO,3,2,18,796,1
AI,HYD,GOI,2,4,18,746,0
6E,DEL,COK,10,0,8,1280,1
DL,DEN,MIA,5,3,17,710,1
NK,LAS,SEA,2,3,9,1075,1
QP,HYD,GOI,9,0,16,800,1
B6,LAX,PHX,10,3,13,801,0
QP,BLR,HYD,5,3,13,310,1
6E,COK,DEL,2,3,21,1280,0
AS,DEN,LAX,10,1,18,862,0
B6,DFW,JFK,10,5,7,1391,1
AI,MAA,PNQ,11,5,18,1087,1
AA,ATL,MIA,7,4,6,595,0
SG,DEL,BOM,2,5,16,710,1
B6,ATL,LAS,6,4,12,1005,1
UA,LAS,DFW,1,2,7,472,1
DL,ORD,PHX,2,1,12,1141,0
F9,SEA,ORD,9,5,16,1129,0
AA,SEA,DFW,3,4,10,565,1
SG,PNQ,COK,2,5,5,922,1
6E,AMD,HYD,10,3,6,1341,1
SG,MAA,AMD,12,1,9,1108,1
NK,SFO,ORD,7,6,19,1280,0
QP,COK,AMD,10,3,13,810,0
B6,LAX,ORD,1,4,10,1744,1
UK,AMD,PNQ,9,0,7,558,1
WN,LAX,JFK,2,4,18,2475,1
NK,MIA,PHX,12,5,16,151,0
F9,ATL,SFO,3,6,15,354,0
F9,DEN,JFK,10,1,13,630,1
QP,MAA,PNQ,4,5,12,1135,1
AS,ATL,DEN,1,5,9,642,0
DL,SEA,ORD,9,4,16,934,1
QP,GOI,DEL,6,1,21,940,0
SG,DEL,GOI,3,4,14,940,0
QP,MAA,BLR,1,0,13,180,1
6E,CCU,BLR,8,0,9,970,0
AA,JFK,ORD,6,6,7,740,1
UA,PHX,ORD,11,3,19,1200,1
B6,BOS,LAS,5,3,20,519,1
UA,SEA,LAX,7,4,10,954,1
AA,DEN,ATL,8,4,11,1285,1
UK,MAA,COK,4,2,18,340,1
AI,GOI,BOM,7,3,13,265,1
UA,MIA,BOS,12,2,19,1258,1
QP,DEL,GOI,1,3,22,940,1
UA,DFW,MIA,2,1,18,834,0
NK,LAX,ORD,7,1,8,1744,1
UA,LAS,BOS,3,2,7,1348,1
AI,DEL,BOM,6,2,17,710,1
QP,PNQ,HYD,4,3,9,262,1
UK,DEL,COK,5,4,18,1280,0
UK,CCU,BOM,9,6,8,1030,1
SG,DEL,CCU,7,6,17,810,1
AI,AMD,CCU,7,2,6,1085,0
6E,GOI,BOM,1,0,11,265,0
AA,ATL,SEA,11,3,21,359,0
AS,DEN,ATL,12,4,22,1233,1
6E,PNQ,HYD,8,4,5,1203,1
SG,MAA,PNQ,12,4,5,647,1
UK,PNQ,MAA,4,3,16,383,0
6E,BOM,COK,5,3,5,670,1
NK,PHX,JFK,7,3,17,1115,1
WN,DFW,LAX,4,6,9,1235,1
DL,SEA,JFK,8,4,14,947,0
AI,CCU,PNQ,5,6,10,598,1
QP,GOI,BLR,7,4,19,310,0
AA,SFO,ORD,6,3,13,228,1
6E,GOI,DEL,2,1,7,940,0
AA,PHX,SEA,12,6,7,1107,1
SG,MAA,PNQ,8,5,6,224,1
B6,LAS,JFK,4,0,21,159,1
AI,BLR,CCU,1,5,8,970,1
DL,LAS,ATL,12,5,17,763,1
IX,DEL,BLR,7,3,8,1080,1
QP,MAA,BOM,4,5,5,640,1
UK,BLR,CCU,4,1,18,970,0
QP,MAA,DEL,10,5,21,1090,0
AI,CCU,MAA,9,2,10,850,0
QP,PNQ,BLR,1,1,14,460,0
SG,AMD,CCU,4,4,18,599,1
B6,DFW,MIA,3,5,5,909,0
6E,BLR,CCU,5,4,11,970,1
UK,MAA,BLR,12,5,17,180,0
